Date,High,Low,Open,Close
01/03/1978 00:00:00,95.15,93.49,93.82,93.82
01/04/1978 00:00:00,94.1,93.16,93.52,93.52
01/05/1978 00:00:00,94.53,92.51,92.74,92.74
01/06/1978 00:00:00,92.66,91.05,91.62,91.62
01/09/1978 00:00:00,91.52,90.01,90.64,90.64
01/10/1978 00:00:00,91.29,89.72,90.17,90.17
01/11/1978 00:00:00,90.7,89.74,89.74,89.74
01/12/1978 00:00:00,90.6,89.25,89.92,89.92
01/13/1978 00:00:00,90.47,89.26,89.69,89.69
01/16/1978 00:00:00,90.11,88.88,89.43,89.43
01/17/1978 00:00:00,90.31,89.05,89.88,89.88
01/18/1978 00:00:00,90.86,89.59,90.56,90.56
01/19/1978 00:00:00,91.04,89.74,90.09,90.09
01/20/1978 00:00:00,91.04,89.74,89.89,89.89
01/23/1978 00:00:00,90.08,88.81,89.24,89.24
01/24/1978 00:00:00,89.8,88.67,89.25,89.25
01/25/1978 00:00:00,89.94,88.83,89.39,89.39
01/26/1978 00:00:00,89.79,88.31,88.58,88.58
01/27/1978 00:00:00,89.1,88.02,88.58,88.58
01/30/1978 00:00:00,89.67,88.26,89.34,89.34
01/31/1978 00:00:00,89.92,88.61,89.25,89.25
02/01/1978 00:00:00,90.24,88.92,89.93,89.93
02/02/1978 00:00:00,90.91,89.54,90.13,90.13
02/03/1978 00:00:00,90.32,89.19,89.62,89.62
02/06/1978 00:00:00,89.48,89.36,89.5,89.5
02/07/1978 00:00:00,89.48,89.36,90.33,90.33
02/08/1978 00:00:00,91.32,90.09,90.83,90.83
02/09/1978 00:00:00,90.96,89.84,90.3,90.3
02/10/1978 00:00:00,90.69,89.56,90.08,90.08
02/13/1978 00:00:00,90.3,89.38,88.86,88.86
02/14/1978 00:00:00,89.89,88.7,89.04,89.04
02/15/1978 00:00:00,89.4,88.3,88.83,88.83
02/16/1978 00:00:00,88.77,87.64,88.08,88.08
02/17/1978 00:00:00,88.34,88.01,87.96,87.96
02/21/1978 00:00:00,88.19,87.09,87.59,87.59
02/22/1978 00:00:00,88.15,87.19,87.56,87.56
02/23/1978 00:00:00,87.92,86.83,87.64,87.64
02/24/1978 00:00:00,88.53,88.07,88.49,88.49
02/27/1978 00:00:00,88.97,87.49,87.72,87.72
02/28/1978 00:00:00,87.76,86.58,87.04,87.04
03/01/1978 00:00:00,87.63,86.45,87.19,87.19
03/02/1978 00:00:00,87.81,86.69,87.32,87.32
